"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mglA",34851.9782764165,0.145573306147666,0.072496342516475,2.0080089711365,0.0446423383641165,0.0554846003177178
"FECAFAII_02973",61.3248101398047,0.582742849279662,0.291606639424498,1.99838676660359,0.0456747452090217,0.0567432255814887
"dut",3548.25209064559,-0.130534275997339,0.065488188875415,-1.99324913757606,0.0462341728843426,0.0574134202138901
"FECAFAII_02780",65.8801835666925,-0.577530304536582,0.290829763571871,-1.98580192564734,0.0470553218740832,0.0584079006084866
"FECAFAII_00669",6.16988726269025,-1.75578933470373,0.884377653504868,-1.98533887389102,0.047106781760517,0.058446550622626
"FECAFAII_00606",797.227979533773,-0.174707612008754,0.0881580908651099,-1.98175357808137,0.0475068274108824,0.0589174797902966
"iap_1",14.927331166459,-1.18008287528339,0.59566050497871,-1.98113332245449,0.0475763242530742,0.0589782364447592
"FECAFAII_02026",5.01589867125249,-1.91563890806918,0.967891135054464,-1.97918840114326,0.0477947983344359,0.0592235415811451
"ulaD",35.1370844911695,0.754994007977673,0.384281080933816,1.96469211063686,0.0494498836240477,0.0612480040063572
"agaSK_3",833.431871207548,0.181778743896051,0.0926994746292331,1.96094686213816,0.049885221908849,0.0617606105078992
"FECAFAII_00246",100.720452145584,0.417527596629767,0.213149353536614,1.95884993175945,0.0501303640314606,0.0620374040251638
"fpgS",4928.15926650493,0.13057759602326,0.0666678616267518,1.95862883309975,0.0501562703706438,0.0620427671337512
"ntpJ_1",10969.6419588665,0.154704721640588,0.0790986250116753,1.95584590272906,0.0504833096373475,0.0624204636788527
"secE",152.97092144499,0.457991530363629,0.234937414916362,1.94941929758899,0.0512453718208543,0.0633354917734323
"FECAFAII_01981",34.9458169020494,0.721794420539472,0.371832826039598,1.94117993353982,0.0522364561909466,0.0645326666688843
"FECAFAII_02004",9.69447610479151,1.27170169649346,0.656280875149715,1.93773999006653,0.0526549524099492,0.0650217445818007
"smc_2",29817.1900854791,0.103273060429974,0.0533208021249581,1.9368249597587,0.0527667437655624,0.0651318262101963
"cah",4474.1745783347,0.129892705161884,0.0672648978204635,1.93106225342941,0.0534753542542504,0.0659781719584831
"FECAFAII_02319",134.012294118793,-0.35675991191099,0.184821589131288,-1.93029349865381,0.053570482146008,0.0660671983927612
"FECAFAII_02030",43.3513692342076,-0.626995907449326,0.325429272365249,-1.92667335329813,0.0540203506953426,0.066593454179085
"arlR_2",9347.48975213181,0.128742058013837,0.0671013602459901,1.91862068878894,0.0550323553608014,0.0678119340264202
"FECAFAII_01456",1291.33326582451,-0.220605625834375,0.115309101519331,-1.91316750306473,0.0557266122965778,0.0686380029828513
"ugl_2",192.985280650996,0.331581080469065,0.173403200554121,1.91219700333948,0.0558509303427435,0.0687616762267681
"chbR",2.80083786020424,-2.87057769782014,1.50676698129201,-1.9051238402893,0.0567639751014459,0.0698558803559086
"dhaM",1300.69938544875,-0.206664005304177,0.109052860483409,-1.89508101289665,0.058081669694064,0.0714469127631001
"FECAFAII_00984",23.2472982069129,-0.813231872029268,0.430269072419269,-1.89005421062852,0.0587507102045258,0.0722390092125764
"lacF_2",35.1455104516361,-0.71360373526242,0.378224773016738,-1.8867186556044,0.0591981770940291,0.0727581014198409
"ganB",84.6008384876715,-0.481032770864916,0.255365215357951,-1.88370514829376,0.0596048696686108,0.0732266574826675
"FECAFAII_02291",66.9515422843644,-0.491335388313759,0.261140576914515,-1.8814976750036,0.0599042512522395,0.0735630344156451
"nhaC_5",176.005356041425,0.327182492671529,0.173949232561822,1.88090793993729,0.0599844429570828,0.0736300716792873
"ycjP",9.5821728249044,-1.28664001076119,0.685263291955219,-1.8775849018413,0.0604379727620832,0.0741279612633239
"pinR",452.314014813434,0.23072101808385,0.122883541552577,1.87755833831607,0.0604416095836212,0.0741279612633239
"maa",3412.22535643094,0.125226950365862,0.0667712585938361,1.87546188289795,0.0607292086308335,0.0744489360708769
"yjmB",45.3308178927898,-0.610102220299332,0.326041358820703,-1.87124180351254,0.0613115729115502,0.0751308409431694
"FECAFAII_01910",232.492405292232,0.287491426660102,0.153973801001754,1.86714509085106,0.0618813290608363,0.0757967216264759
"rhaA",65.418833213036,-0.491386549846276,0.264083467511047,-1.8607243932289,0.0627831072599154,0.0768685468197176
"FECAFAII_02889",60.5415774440962,0.483001208007342,0.259771457118937,1.85933132671385,0.0629801892328486,0.0770770315887969
"brnQ_2",205.319377845248,-0.315554326423675,0.170439570381378,-1.85141470209991,0.0641099155926644,0.07842625148639
"cca",6147.27144469376,0.106837401882214,0.0577686946590595,1.84939961882035,0.0644001304485604,0.0787477785586989
"pgdS",23.3219836186528,-0.784366522322045,0.425565617800478,-1.84311534934617,0.0653121707169955,0.0798290705406201
"FECAFAII_03131",6.44434251660209,-1.70096005182365,0.925816543247126,-1.83725389682264,0.0661724224529271,0.0808461711871786
"moeZ",159.014705450418,-0.298841404793834,0.162793392018054,-1.83570967524709,0.0664006062508972,0.0810905068269981
"punA",15532.9349992728,-0.101720246630767,0.0554711197694386,-1.83375145577661,0.0666908966526633,0.0814104493943377
"FECAFAII_00296",4.87391040728927,-1.88963929764638,1.0310054985548,-1.83281204639078,0.0668305270775068,0.0815462859036527
